id,url,title,short_title,shop,tags,image_url,posted_x,memo
001,https://amzn.asia/d/08NCT1Kd,ボクサーパンツ 蒸れない 陰嚢分離型 摩擦の防止 メンズ 下着 竿出し ローライズ 冷感下着 通気性 伸縮性 吸水速乾 無地,ボクサーパンツ 蒸れない 陰嚢分離型 摩擦の防止 メンズ…,Amazon,下着,https://m.media-amazon.com/images/I/51Tow59kA6L._AC_SX342_SY445_QL70_ML2_.jpg,FALSE,
002,https://amzn.asia/d/02ervJ0E,おっぱい胸枕クッション メモリーフォーム ソフトメモリーフォームの睡眠枕 雑貨 人間工学に基づいた 抱き枕 携帯枕 旅行枕 自宅勤務 オフィス用に最適 インテリア 誕生日 プレゼント 新年会 (ブラック),おっぱい胸枕クッション メモリーフォーム ソフトメモリー…,Amazon,クッション,https://m.media-amazon.com/images/I/71kcEws-4XS._AC_SY300_SX300_QL70_ML2_.jpg,FALSE,
003,https://amzn.asia/d/0iWjSsl5,メイクヒップス ベーグルクッション ラズベリー,メイクヒップス ベーグルクッション ラズベリー,Amazon,クッション,https://m.media-amazon.com/images/I/61W8XP8m3HL._AC_SY300_SX300_QL70_ML2_.jpg,FALSE,
